id,banco,tarjeta,restaurante,descuento_valor,descuento_tipo,descuento_texto,dias_validos,horario_inicio,horario_fin,valido_desde,valido_hasta,ubicacion,ciudad,locales,compra_minima,tope_descuento,restricciones_texto,online,presencial,fecha_scrape,url_fuente,imagen_url,logo_url,direccion,activo,tags,descripcion
banchile_d2ca8bdb-599b-44ab-acc1-940d9b6fd188,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Infiltrados,20,porcentaje,20%; dto.,"['sabado', 'martes', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,descuentos-santiago,,['RM'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.881692,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/infiltrados,https://assets.bancochile.cl/uploads/000/079/483/39595595-744e-4127-a7db-6810866db799/original/INFILTRADOS_2_.jpg,https://assets.bancochile.cl/uploads/000/026/789/12bf0250-cb89-4617-98ab-dcc957a79951/original/logo-web-infiltrados.jpg,Av. Vitacura 5708,True,"['descuentos-santiago', 'metropolitana de santiago', 'sabado', 'vitacura', 'martes', 'miercoles', 'planes', 'segmentado']",
banchile_dabadc7c-cd72-42fa-bb43-d13faea8b81e,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Nosu,20,porcentaje,20%; dto.,"['viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.881723,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/nosu-restaurant,https://assets.bancochile.cl/uploads/000/055/713/59b20246-5a9f-40b4-b372-5cb2b2377762/original/banner-web-Nosu.jpg,https://assets.bancochile.cl/uploads/000/055/712/9ad7b375-de45-49eb-bfc5-295ad42a58f8/original/logo-web-Nosu.jpg,Av Vitacura #3600,True,"['metropolitana de santiago', 'viernes', 'domingo', 'sabado', 'vitacura', 'lunes', 'martes', 'jueves', 'miercoles', 'segmentado']",
banchile_fc8a5fff-b473-45a6-9f98-0c040e53e340,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch","Restaurante Puerto Seco, Hotel Radisson Curicó",20,porcentaje,20%; dto.,"['viernes', 'domingo', 'sabado', 'jueves']",,,31 de mayo de 2026,31 de mayo de 2026,maule,,['Región del Maule'],0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile y Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comercio,False,False,2026-03-13T16:40:17.881757,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/puerto-seco-radisson-curico,https://assets.bancochile.cl/uploads/000/078/011/21d20da6-f37a-4557-b8c9-2f889f74293e/original/banner-web-radisson.jpg,https://assets.bancochile.cl/uploads/000/078/010/9a627887-d588-46d7-b0f6-8d999b0f2c8d/original/logo-web-radisson.jpg,San Francisco #35,True,"['viernes', 'domingo', 'sabado', 'jueves', 'maule', 'curicó']",
banchile_0f1573be-3124-4ce7-b5b9-424dec66b761,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Mandala Food & Bar,20,porcentaje,20%; dto.,"['viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,31 de marzo de 2026,31 de marzo de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 31 de marzo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.881784,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/mandala-food-and-bar,https://assets.bancochile.cl/uploads/000/055/265/ecae1cf1-f0a8-4427-936a-7a2ec8241638/original/banner-web-Mandala-Food-_-Bar.jpg,https://assets.bancochile.cl/uploads/000/055/264/632b4604-d14d-43cf-8ed2-70964f9577b7/original/logo-web-mandala-v3.jpg,Carlos Antunez #1823,True,"['metropolitana de santiago', 'providencia', 'viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'segmentado']",
banchile_39ebfb4a-75bd-4def-b873-8f6d7571cfd9,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Buffet Express,20,porcentaje,20%; dto.,"['lunes', 'martes', 'miercoles']",,,31 de marzo de 2026,31 de marzo de 2026,descuentos-santiago,,"['Kennedy N9001', 'Manquehue Sur 31', 'Kennedy N 5413', 'Av. Andrés Bello N2447', 'Borja N 66', 'RM', 'Vicuña Mackenna N 6100', 'Vicuña Mackenna N 7110', 'Av. Americo Vespucio N 1501', 'Jorge Alessandri N 20040', 'AV. Larraín 5862', 'Av. Libertad n1348', 'Los carreras ponientes 301', 'Barros arana 1068', 'Bío-Bío', 'Calle Valdivia n440', 'Av. Alemania n671', 'Urmenta n580', 'Illapel n10', 'Arauco n561', 'Ignacio serrano N 574', 'Av. Alberto Solari n1400', 'Varela N1524', 'Av. Balmaceda n2355', 'Av. Balmaceda n 3242']",0,0,"Promoción válida hasta el 31 de marzo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile, Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial y online. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del",False,False,2026-03-13T16:40:17.881956,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/buffet-express,https://assets.bancochile.cl/uploads/000/042/392/2816c40f-af69-44a1-a38a-2ed0e5f29a1e/original/banner-buffet.jpg,https://assets.bancochile.cl/uploads/000/042/391/95d5f5a4-5c97-4635-af30-6022ec26d0aa/original/buffete1_1_.jpg,Local 3508,True,"['descuentos-regiones', 'descuentos-santiago', 'valparaíso', 'puerto montt', 'calama', 'castro', 'metropolitana de santiago', 'lunes', 'martes', 'miercoles', 'los lagos', 'viña del mar', 'la serena', 'coquimbo', 'antofagasta', 'concepción', 'biobío', 'los ríos', 'temuco', 'santiago', 'valdivia', 'cerrillos', 'los angeles', 'atacama', 'segmentado']",
banchile_3ffab563-e8e8-4c75-b834-a17f08dcab01,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Dolce,20,porcentaje,20%; dto.,"['martes', 'jueves']",,,31 de marzo de 2026,31 de marzo de 2026,los ríos,,['Región de los Ríos'],0,0,Promoción válida hasta el 31 de marzo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.881991,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/dolce-20dto,https://assets.bancochile.cl/uploads/000/054/615/2527b26f-4bd1-4aff-9d1a-bff899f3a586/original/banner-web-Dolce.jpg,https://assets.bancochile.cl/uploads/000/054/614/96c42c97-e39e-45a4-835e-6f2941888939/original/logo-web-Dolce.jpg,BERNARDO OHIGGINS #396,True,"['martes', 'jueves', 'los ríos', 'valdivia', 'segmentado']",
banchile_a1e65273-9d4f-4086-b30f-d2fb5f53fa7d,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Don Pedro,20,porcentaje,20%; dto.,['miercoles'],,,30 de junio de 2026,30 de junio de 2026,la araucanía,,['Región de la Araucanía'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.882082,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/don-pedro-restaurant,https://assets.bancochile.cl/uploads/000/056/240/f6a539e8-ca4c-4ac0-9594-8e3b245b0a06/original/banner-web-Don-Pedro.jpg,https://assets.bancochile.cl/uploads/000/056/239/2dca5a51-5b3e-4228-af14-87aa1348afef/original/logo-web-Don-Pedro.jpg,San Martín #0490 esquina San Guillermo,True,"['miercoles', 'la araucanía', 'temuco', 'segmentado']",
banchile_86b3314f-b4da-4dbd-b5c9-28726d5483c5,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Restaurante Bravo Temuco,20,porcentaje,20%; dto.,"['sabado', 'lunes']",,,30 de junio de 2026,30 de junio de 2026,la araucanía,,['Región de la Araucanía'],0,0,"Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile, Banco Edwards y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comercio ",False,False,2026-03-13T16:40:17.882117,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/restaurante-bravo-temuco,https://assets.bancochile.cl/uploads/000/042/485/c9b0b357-bde8-4243-b586-5925c41787aa/original/banner-web-Restaurante-Bravo-Temuco.jpg,https://assets.bancochile.cl/uploads/000/042/484/1b28c367-ef48-452c-8b03-589db920a33c/original/logo-web-Restaurante-Bravo-Temuco.jpg,Reusch #445,True,"['sabado', 'lunes', 'la araucanía', 'temuco']",
banchile_ad47a793-8303-418f-a1f4-de78db28532a,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Gratinata Pizza,20,porcentaje,20%; dto.,['martes'],,,30 de junio de 2026,30 de junio de 2026,valparaíso,,['Región de Valparaíso'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.882141,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/gratinata-pizza,https://assets.bancochile.cl/uploads/000/026/839/0939fad8-c7e1-4083-8a0b-13144f1bdcda/original/banner-web-Gratinata-Pizza.jpg,https://assets.bancochile.cl/uploads/000/026/838/33454c3c-8c5b-4e8a-8e86-a682eef46889/original/logo-web-Gratinata-Pizza.jpg,Av. José Tomas Urmeneta #612,True,"['valparaíso', 'martes', 'limache']",
banchile_0036f6bc-4830-43ba-ac96-1f341aea6a68,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",OMAMORI,20,porcentaje,20%; dto.,"['lunes', 'martes', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,tarapacá,,['Tarapacá'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.882177,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/omamori,https://assets.bancochile.cl/uploads/000/027/707/e5a5c6b6-a336-4a4d-b749-7157921ddae0/original/banner-web-omamori.jpg,https://assets.bancochile.cl/uploads/000/027/706/922dc78f-c03b-40bf-a928-13423ec0704c/original/logo-web-omamori.jpg,Av. Arturo Prat 950,True,"['lunes', 'martes', 'miercoles', 'iquique', 'tarapacá']",
